ID,Name,PubChem CID,CAS number,canonical SMILES,Taste,Class taste,Reference_(cod)/[pp],taste_word_count,taste_has_multiple,smiles_length,num_carbons,num_oxygens,num_nitrogens,num_sulfurs,num_halogens,num_rings,num_aromatic,num_double_bonds,num_triple_bonds,num_brackets,num_branches,C_O_ratio,N_C_ratio,ring_aromatic_ratio,heteroatom_ratio
2122,Hydroperoxy-cis-alloisohumulone,*,*,CC(C)CC(=O)C1=C(O)C(O)(C(CC=C(C)C)C1=O)C(=O)C=CC(C)(C)OO,Bitter,Bitterness,Dagan-Wiener2019_(1068),1,False,56,21,7,0,0,0,2,0,6,0,0,20,2.625,0.0,0.0,0.12280701754385964
2123,Hydroperoxy-trans-alloisoadhumulone,*,*,CCC(C)C(=O)C1=C(O)C(O)(C(CC=C(C)C)C1=O)C(=O)C=CC(C)(C)OO,Bitter,Bitterness,Dagan-Wiener2019_(1072),1,False,56,21,7,0,0,0,2,0,6,0,0,20,2.625,0.0,0.0,0.12280701754385964
2124,Hydroperoxy-trans-alloisocohumulone,*,*,CC(C)C(=O)C1=C(O)C(O)(C(CC=C(C)C)C1=O)C(=O)C=CC(C)(C)OO,Bitter,Bitterness,Dagan-Wiener2019_(1070),1,False,55,20,7,0,0,0,2,0,6,0,0,20,2.5,0.0,0.0,0.125
2125,Hydroperoxy-trans-alloisohumulone,*,*,CC(C)CC(=O)C1=C(O)C(O)(C(CC=C(C)C)C1=O)C(=O)C=CC(C)(C)OO,Bitter,Bitterness,Dagan-Wiener2019_(1071),1,False,56,21,7,0,0,0,2,0,6,0,0,20,2.625,0.0,0.0,0.12280701754385964
2126,Hydroperoxytricycloadlupone,*,*,CCC(C)C(=O)C1=C(O)C23CC(C(C)(C)OO)C(C)(C)C3CC(CC=C(C)C)(C1=O)C2=O,Bitter,Bitterness,Dagan-Wiener2019_(1096),1,False,65,26,6,0,0,0,6,0,5,0,0,22,3.7142857142857144,0.0,0.0,0.09090909090909091
2127,Hydroperoxytricyclocolupone,*,*,CC(C)C(=O)C1=C(O)C23CC(C(C)(C)OO)C(C)(C)C3CC(CC=C(C)C)(C1=O)C2=O,Bitter,Bitterness,Dagan-Wiener2019_(1094),1,False,64,25,6,0,0,0,6,0,5,0,0,22,3.5714285714285716,0.0,0.0,0.09230769230769231
2128,Hydroperoxytricyclolupone,*,*,CC(C)CC(=O)C1=C(O)C23CC(C(C)(C)OO)C(C)(C)C3CC(CC=C(C)C)(C1=O)C2=O,Bitter,Bitterness,Dagan-Wiener2019_(1095),1,False,65,26,6,0,0,0,6,0,5,0,0,22,3.7142857142857144,0.0,0.0,0.09090909090909091
2129,Hydroxychloroquine sulfate,12947,747-36-4,CCN(CCO)CCCC(C)Nc1ccnc2cc(ccc12)Cl.OS(O)(=O)=O,Bitter,Bitterness,Dagan-Wiener2019_(249),1,False,46,9,5,2,1,1,4,10,2,0,0,10,1.5,0.2,2.0,0.1702127659574468
2130,Hydroxy-cis-alloisoadhumulone,*,*,CCC(C)C(=O)C1=C(O)C(O)(C(CC=C(C)C)C1=O)C(=O)C=CC(C)(C)O,Bitter,Bitterness,Dagan-Wiener2019_(1063),1,False,55,21,6,0,0,0,2,0,6,0,0,20,3.0,0.0,0.0,0.10714285714285714
2131,Hydroxy-cis-alloisocohumulone,*,*,CC(C)C(=O)C1=C(O)C(O)(C(CC=C(C)C)C1=O)C(=O)C=CC(C)(C)O,Bitter,Bitterness,Dagan-Wiener2019_(1061),1,False,54,20,6,0,0,0,2,0,6,0,0,20,2.857142857142857,0.0,0.0,0.10909090909090909
2132,Hydroxy-cis-alloisohumulone,*,*,CC(C)CC(=O)C1=C(O)C(O)(C(CC=C(C)C)C1=O)C(=O)C=CC(C)(C)O,Bitter,Bitterness,Dagan-Wiener2019_(1062),1,False,55,21,6,0,0,0,2,0,6,0,0,20,3.0,0.0,0.0,0.10714285714285714
2133,Hydroxylupanine,73404,15358-48-2,OC1CCN2CC3CC(CN4C3CCCC4=O)C2C1,Bitter,Bitterness,Dagan-Wiener2019_(664),1,False,30,15,2,2,0,0,8,0,1,0,0,2,5.0,0.125,0.0,0.12903225806451613
2134,Hydroxy-trans-alloisoadhumulone,*,*,CCC(C)C(=O)C1=C(O)C(O)(C(CC=C(C)C)C1=O)C(=O)C=CC(C)(C)O,Bitter,Bitterness,Dagan-Wiener2019_(1066),1,False,55,21,6,0,0,0,2,0,6,0,0,20,3.0,0.0,0.0,0.10714285714285714
2135,Hydroxy-trans-alloisocohumulone,*,*,CC(C)C(=O)C1=C(O)C(O)(C(CC=C(C)C)C1=O)C(=O)C=CC(C)(C)O,Bitter,Bitterness,Dagan-Wiener2019_(1064),1,False,54,20,6,0,0,0,2,0,6,0,0,20,2.857142857142857,0.0,0.0,0.10909090909090909
2136,Hydroxy-trans-alloisohumulone,*,*,CC(C)CC(=O)C1=C(O)C(O)(C(CC=C(C)C)C1=O)C(=O)C=CC(C)(C)O,Bitter,Bitterness,Dagan-Wiener2019_(1065),1,False,55,21,6,0,0,0,2,0,6,0,0,20,3.0,0.0,0.0,0.10714285714285714
2137,Hydroxytricycloadlupone,57380330,*,CCC(C)C(=O)C1=C(O)C2(CC=C(C)C)CC3C(C)(C)C(CC3(C1=O)C2=O)C(C)(C)O,Bitter,Bitterness,Dagan-Wiener2019_(1093),1,False,64,26,5,0,0,0,6,0,5,0,0,22,4.333333333333333,0.0,0.0,0.07692307692307693
